R24 FULL MODULE ISOLATION MATRIX
CI_DEVICE=llvmpipe software Vulkan; use relative attribution, not discrete-GPU certification.
ALL_OFF avg_fps=306.575 frame_ms=3.262 render_ms=2.122
FULL avg_fps=10.586 frame_ms=94.464 render_ms=88.124

case | avg_fps | frame_ms | +ms_vs_all_off | saved_ms_vs_full | shadow | opaque | sky | transparent | cpu_streaming | cpu_physics | cpu_celestial
00-all-off | 306.575 | 3.262 | +0.000 | +91.203 | 0.067 | 0.202 | 0.187 | 0.127 | 0.000 | 0.000 | 0.000
01-sky-only | 25.946 | 38.542 | +35.280 | +55.923 | 0.064 | 0.229 | 35.758 | 0.110 | 0.000 | 0.000 | 0.000
02-ui-only | 148.518 | 6.733 | +3.471 | +87.731 | 0.065 | 0.186 | 0.169 | 0.117 | 0.000 | 0.000 | 0.000
03-celestial-only | 312.249 | 3.203 | -0.059 | +91.262 | 0.066 | 0.193 | 0.167 | 0.115 | 0.000 | 0.000 | 0.000
04-physics-only | 278.579 | 3.590 | +0.328 | +90.875 | 0.077 | 0.144 | 0.138 | 0.104 | 0.900 | 0.000 | 0.000
05-weather-only | 295.275 | 3.387 | +0.125 | +91.078 | 0.071 | 0.235 | 0.168 | 0.120 | 0.000 | 0.000 | 0.000
06-dynamic-scene-only | 313.803 | 3.187 | -0.075 | +91.278 | 0.077 | 0.249 | 0.158 | 0.120 | 0.000 | 0.000 | 0.000
07-terrain-static-only | 60.312 | 16.580 | +13.319 | +77.884 | 0.110 | 12.777 | 0.133 | 0.120 | 0.000 | 0.000 | 0.000
08-terrain-streaming | 58.807 | 17.005 | +13.743 | +77.460 | 0.086 | 13.105 | 0.110 | 0.099 | 0.000 | 0.000 | 0.000
09-terrain-plus-water | 29.297 | 34.133 | +30.871 | +60.331 | 0.079 | 14.379 | 15.560 | 0.230 | 0.000 | 0.000 | 0.000
10-terrain-plus-ecology | 38.519 | 25.961 | +22.699 | +68.503 | 0.075 | 21.934 | 0.113 | 0.090 | 0.000 | 0.000 | 0.000
11-terrain-ecology-shadows | 29.402 | 34.011 | +30.749 | +60.453 | 7.315 | 0.173 | 0.122 | 0.105 | 0.000 | 0.000 | 0.000
20-full | 10.586 | 94.464 | +91.203 | +0.000 | 7.710 | 35.058 | 15.449 | 4.039 | 3.400 | 0.000 | 0.000
21-full-no-sky | 16.155 | 61.900 | +58.638 | +32.564 | 7.185 | 0.173 | 15.282 | 4.116 | 5.400 | 0.000 | 0.000
22-full-no-terrain-family | 19.435 | 51.454 | +48.192 | +43.011 | 0.583 | 0.150 | 35.912 | 3.955 | 6.000 | 0.000 | 0.000
23-full-no-water | 12.902 | 77.507 | +74.246 | +16.957 | 7.284 | 33.822 | 0.357 | 4.004 | 3.900 | 0.000 | 0.000
24-full-no-ecology | 12.917 | 77.417 | +74.156 | +17.047 | 0.526 | 48.378 | 15.019 | 3.987 | 4.000 | 0.000 | 0.000
25-full-no-shadows | 11.112 | 89.993 | +86.731 | +4.472 | 0.044 | 59.828 | 15.503 | 4.115 | 3.900 | 0.000 | 0.000
26-full-no-dynamic-scene | 10.668 | 93.738 | +90.476 | +0.726 | 7.846 | 34.068 | 15.151 | 4.001 | 3.700 | 0.000 | 0.000
27-full-no-physics | 10.883 | 91.886 | +88.625 | +2.578 | 8.422 | 34.907 | 15.457 | 4.074 | 0.000 | 0.000 | 0.000
28-full-no-celestial | 10.676 | 93.668 | +90.406 | +0.796 | 7.503 | 34.422 | 15.224 | 4.030 | 3.300 | 0.000 | 0.000
29-full-no-weather | 10.671 | 93.712 | +90.450 | +0.752 | 7.925 | 34.460 | 15.301 | 4.004 | 3.500 | 0.000 | 0.000
30-full-no-ui | 11.238 | 88.984 | +85.722 | +5.481 | 7.369 | 33.485 | 14.870 | 0.254 | 2.800 | 0.000 | 0.000
