case,avg_fps,frame_ms_from_fps,low_1pct_fps,p99_frame_ms,render_mean_ms,gpu_shadow_ms,gpu_opaque_ms,gpu_sky_ms,gpu_transparent_ms,cpu_celestial_ms,cpu_camera_ms,cpu_physics_ms,cpu_streaming_ms,cpu_dynamic_ms,cpu_prep_ms,cpu_renderer_ms,present_ms,added_vs_all_off_ms,saved_vs_full_ms,fps_ratio_vs_all_off
00-all-off,306.575,3.2618445731060914,nan,nan,2.122,0.067,0.202,0.187,0.127,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.07,0.0,91.20254235302276,1.0
01-sky-only,25.946,38.541586371695054,nan,nan,37.93,0.064,0.229,35.758,0.11,0.0,0.0,0.0,0.0,0.0,0.0,43.2,42.973,35.279741798588965,55.9228005544338,0.08463181929381065
02-ui-only,148.518,6.733190589692832,nan,nan,6.279,0.065,0.186,0.169,0.117,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.236,3.4713460165867405,87.73119633643603,0.48444263230857054
03-celestial-only,312.249,3.2025723060762403,nan,nan,2.047,0.066,0.193,0.167,0.115,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.019,-0.05927226702985111,91.26181462005262,1.018507706107804
04-physics-only,278.579,3.5896460250054743,nan,nan,1.925,0.077,0.144,0.138,0.104,0.0,0.0,0.0,0.9,0.0,0.0,2.0,1.882,0.3278014518993828,90.87474090112337,0.908681399331322
05-weather-only,295.275,3.386673440013547,nan,nan,2.287,0.071,0.235,0.168,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.191,0.12482886690745554,91.0777134861153,0.9631411563239012
06-dynamic-scene-only,313.803,3.1867126827978063,nan,nan,2.201,0.077,0.249,0.158,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.157,-0.07513189030828515,91.27767424333105,1.0235766125744108
07-terrain-static-only,60.312,16.580448335322988,nan,nan,16.105,0.11,12.777,0.133,0.12,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.376,13.318603762216895,77.88393859080587,0.19672836989317458
08-terrain-streaming,58.807,17.004778342714303,nan,nan,16.265,0.086,13.105,0.11,0.099,0.0,0.0,0.0,0.0,0.0,0.0,16.3,16.189,13.74293376960821,77.45960858341455,0.19181929381064994
09-terrain-plus-water,29.297,34.133187698399155,nan,nan,33.215,0.079,14.379,15.56,0.23,0.0,0.0,0.0,0.0,0.0,0.0,33.8,33.49,30.871343125293063,60.3311992277297,0.09556226045828917
10-terrain-plus-ecology,38.519,25.961213946364133,nan,nan,24.896,0.075,21.934,0.113,0.09,0.0,0.0,0.0,0.0,0.0,0.0,25.3,25.063,22.69936937325804,68.50317297976471,0.12564299111147353
11-terrain-ecology-shadows,29.402,34.01129174886062,nan,nan,32.641,7.315,0.173,0.122,0.105,0.0,0.0,0.0,0.0,0.0,0.0,32.8,32.491,30.74944717575453,60.45309517726823,0.0959047541384653
20-full,10.586,94.46438692612885,nan,nan,88.124,7.71,35.058,15.449,4.039,0.0,0.0,0.0,3.4,0.0,0.0,90.6,89.764,91.20254235302276,0.0,0.034529886650901086
21-full-no-sky,16.155,61.90034045187248,nan,nan,53.326,7.185,0.173,15.282,4.116,0.0,0.0,0.0,5.4,0.0,0.0,53.6,53.093,58.63849587876639,32.56404647425637,0.052695099078528915
22-full-no-terrain-family,19.435,51.45356315924878,nan,nan,42.273,0.583,0.15,35.912,3.955,0.0,0.0,0.0,6.0,0.0,0.0,42.6,42.319,48.19171858614269,43.01082376688007,0.06339394927831689
23-full-no-water,12.902,77.50736319950396,nan,nan,70.443,7.284,33.822,0.357,4.004,0.0,0.0,0.0,3.9,0.0,0.0,71.2,70.503,74.24551862639787,16.957023726624897,0.042084318682214794
24-full-no-ecology,12.917,77.417356971433,nan,nan,69.818,0.526,48.378,15.019,3.987,0.0,0.0,0.0,4.0,0.0,0.0,70.8,70.289,74.1555123983269,17.04702995469586,0.042133246350811386
25-full-no-shadows,11.112,89.99280057595392,nan,nan,82.808,0.044,59.828,15.503,4.115,0.0,0.0,0.0,3.9,0.0,0.0,82.7,81.868,86.73095600284783,4.471586350174931,0.03624561689635489
26-full-no-dynamic-scene,10.668,93.73828271466067,nan,nan,86.918,7.846,34.068,15.151,4.001,0.0,0.0,0.0,3.7,0.0,0.0,89.5,88.631,90.47643814155458,0.7261042114681828,0.03479735790589578
27-full-no-physics,10.883,91.88642837452909,nan,nan,89.479,8.422,34.907,15.457,4.074,0.0,0.0,0.0,0.0,0.0,0.0,91.1,90.166,88.624583801423,2.577958551599764,0.035498654489113594
28-full-no-celestial,10.676,93.66804046459347,nan,nan,87.181,7.503,34.422,15.224,4.03,0.0,0.0,0.0,3.3,0.0,0.0,88.5,87.646,90.40619589148739,0.7963464615353786,0.03482345266248064
29-full-no-weather,10.671,93.711929528629,nan,nan,87.306,7.925,34.46,15.301,4.004,0.0,0.0,0.0,3.5,0.0,0.0,90.0,89.094,90.45008495552291,0.7524573974998532,0.0348071434396151
30-full-no-ui,11.238,88.98380494749956,nan,nan,82.171,7.369,33.485,14.87,0.254,0.0,0.0,0.0,2.8,0.0,0.0,83.4,82.402,85.72196037439348,5.480581978629289,0.03665660931256626
